epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1439.63,0.60643,0.46417,1.07932,0.86583,0.8381,0.90376,0.70406,0.87084,0.6922,1.3467,0.0002972,0.0002972,0.0002972
88,1455.88,0.61742,0.45758,1.09064,0.89098,0.85621,0.92619,0.71794,0.84728,0.61232,1.3468,0.0002774,0.0002774,0.0002774
89,1472.18,0.60464,0.44286,1.0718,0.91345,0.79048,0.93049,0.72952,0.80899,0.55829,1.30518,0.0002576,0.0002576,0.0002576
90,1488.47,0.60954,0.46619,1.08454,0.89082,0.85481,0.92551,0.71109,0.81128,0.54878,1.26053,0.0002378,0.0002378,0.0002378
91,1506.99,0.48828,0.34023,0.99319,0.86283,0.90476,0.93411,0.71492,0.80374,0.52837,1.28566,0.000218,0.000218,0.000218
92,1523.67,0.49184,0.31657,0.97961,0.88308,0.86317,0.92196,0.70643,0.82249,0.55636,1.30756,0.0001982,0.0001982,0.0001982
93,1539.79,0.46472,0.30451,0.9673,0.91572,0.81905,0.91727,0.71427,0.91489,0.58676,1.42685,0.0001784,0.0001784,0.0001784
94,1555.69,0.4656,0.29843,0.97512,0.91826,0.81905,0.91864,0.71422,0.8088,0.55945,1.32163,0.0001586,0.0001586,0.0001586
95,1571.54,0.45371,0.28097,0.94037,0.90079,0.86667,0.91963,0.71065,0.82309,0.53676,1.32336,0.0001388,0.0001388,0.0001388
96,1587.38,0.45276,0.27715,0.95023,0.90806,0.82857,0.92914,0.72154,0.82709,0.54566,1.34333,0.000119,0.000119,0.000119
97,1603.27,0.45653,0.27972,0.96082,0.89235,0.86843,0.93101,0.72317,0.82202,0.52028,1.32729,9.92e-05,9.92e-05,9.92e-05
98,1619.15,0.45192,0.29289,0.95819,0.87444,0.87619,0.92673,0.71866,0.81797,0.53081,1.32961,7.94e-05,7.94e-05,7.94e-05
99,1635.49,0.4436,0.28359,0.94221,0.88451,0.87619,0.92918,0.72503,0.81693,0.53237,1.32751,5.96e-05,5.96e-05,5.96e-05
100,1652.22,0.43491,0.27016,0.93849,0.89306,0.87486,0.92744,0.72015,0.82021,0.53875,1.3268,3.98e-05,3.98e-05,3.98e-05
